Datetime,sentiment_balance_total,sentiment_volume_consumed_total
2016-10-04 00:00:00+00:00,0.0,-0.15414453
2016-10-05 00:00:00+00:00,-0.746943,-0.19228724
2016-10-06 00:00:00+00:00,0.7007289,-0.1355866
2016-10-07 00:00:00+00:00,-0.076386094,-0.15672168
2016-10-08 00:00:00+00:00,1.6963712,0.107230745
2016-10-09 00:00:00+00:00,-0.9489783,-0.20522389
2016-10-10 00:00:00+00:00,0.04242915,-0.15159702
2016-10-11 00:00:00+00:00,0.81145865,-0.07311947
2016-10-12 00:00:00+00:00,2.843451,3.0508788
2016-10-13 00:00:00+00:00,-0.0036438107,-0.20185088
2016-10-14 00:00:00+00:00,-0.7778493,-0.36102888
2016-10-15 00:00:00+00:00,0.71583086,-0.1610565
2016-10-16 00:00:00+00:00,0.8506839,-0.05584369
2016-10-17 00:00:00+00:00,0.0,-0.19753131
2016-10-18 00:00:00+00:00,1.6394318,-0.15885814
2016-10-19 00:00:00+00:00,0.0,-0.1972163
2016-10-20 00:00:00+00:00,0.0,-0.19716665
2016-10-21 00:00:00+00:00,0.78983897,-0.19716665
2016-10-22 00:00:00+00:00,0.0,-0.19716665
2016-10-23 00:00:00+00:00,-0.06241381,-0.19861731
2016-10-24 00:00:00+00:00,0.9612413,-0.1475228
2016-10-25 00:00:00+00:00,5.995625,6.625823
2016-10-26 00:00:00+00:00,-0.8478683,-0.36542875
2016-10-27 00:00:00+00:00,1.6820326,0.030491542
2016-10-28 00:00:00+00:00,2.2331467,-0.017426636
2016-10-29 00:00:00+00:00,0.95129555,0.056319475
2016-10-30 00:00:00+00:00,0.8985169,0.18436363
2016-10-31 00:00:00+00:00,0.0,-0.21506341
2016-11-01 00:00:00+00:00,0.8323157,-0.16828038
2016-11-02 00:00:00+00:00,0.7792661,-0.19283792
2016-11-03 00:00:00+00:00,0.0,-0.20792471
2016-11-04 00:00:00+00:00,1.6210229,-0.16366874
2016-11-05 00:00:00+00:00,0.8056697,-0.14186278
2016-11-06 00:00:00+00:00,0.8184447,-0.18667018
2016-11-07 00:00:00+00:00,0.7353936,-0.18933146
2016-11-08 00:00:00+00:00,0.0,-0.209332
2016-11-09 00:00:00+00:00,-0.14998376,-0.21342674
2016-11-10 00:00:00+00:00,0.0,-0.20925942
2016-11-11 00:00:00+00:00,0.914714,-0.18355697
2016-11-12 00:00:00+00:00,3.811503,0.10240215
2016-11-13 00:00:00+00:00,0.0,-0.21510528
2016-11-14 00:00:00+00:00,-0.7196131,-0.2544044
2016-11-15 00:00:00+00:00,0.0,-0.21447846
2016-11-16 00:00:00+00:00,0.63010085,-0.19726989
2016-11-17 00:00:00+00:00,0.0,-0.21062636
2016-11-18 00:00:00+00:00,0.8737577,-0.18676935
2016-11-19 00:00:00+00:00,0.0,-0.21026635
2016-11-20 00:00:00+00:00,0.8643521,0.52074003
2016-11-21 00:00:00+00:00,0.745387,-0.12065435
2016-11-22 00:00:00+00:00,0.75284636,-0.22402696
2016-11-23 00:00:00+00:00,0.8608173,-0.15362749
2016-11-24 00:00:00+00:00,0.75124824,-0.2252724
2016-11-25 00:00:00+00:00,0.74507374,-0.1846468
2016-11-26 00:00:00+00:00,0.0,-0.22599389
2016-11-27 00:00:00+00:00,0.7715137,-0.18392047
2016-11-28 00:00:00+00:00,-0.85658497,-0.27263486
2016-11-29 00:00:00+00:00,0.0,-0.22510953
2016-11-30 00:00:00+00:00,1.4619687,-0.10550319
2016-12-01 00:00:00+00:00,0.0,-0.2261059
2016-12-02 00:00:00+00:00,2.6780612,1.3597118
2016-12-03 00:00:00+00:00,-0.7224765,-0.6931407
2016-12-04 00:00:00+00:00,0.78834015,-0.19950779
2016-12-05 00:00:00+00:00,0.0,-0.24209161
2016-12-06 00:00:00+00:00,-0.81156105,-0.30723816
2016-12-07 00:00:00+00:00,-0.73812133,-0.33480397
2016-12-08 00:00:00+00:00,0.73289937,-0.1766321
2016-12-09 00:00:00+00:00,0.0,-0.23635022
2016-12-10 00:00:00+00:00,0.112154305,-0.23181587
2016-12-11 00:00:00+00:00,-0.7948858,-0.2420928
2016-12-12 00:00:00+00:00,0.0,-0.19361503
2016-12-13 00:00:00+00:00,0.0,-0.19739503
2016-12-14 00:00:00+00:00,0.0,-0.1966399
2016-12-15 00:00:00+00:00,-0.041712463,-0.2010599
2016-12-16 00:00:00+00:00,0.90296376,-0.19341114
2016-12-17 00:00:00+00:00,0.0,-0.19254863
2016-12-18 00:00:00+00:00,0.0,-0.19254863
2016-12-19 00:00:00+00:00,-1.7028327,-0.29475462
2016-12-20 00:00:00+00:00,0.0,-0.19073221
2016-12-21 00:00:00+00:00,-0.70692736,-0.21194905
2016-12-22 00:00:00+00:00,1.713985,0.015516894
2016-12-23 00:00:00+00:00,1.4121873,-0.065694846
2016-12-24 00:00:00+00:00,-0.7775055,-0.33497223
2016-12-25 00:00:00+00:00,0.0,-0.26223144
2016-12-26 00:00:00+00:00,-0.7590088,-0.33010256
2016-12-27 00:00:00+00:00,2.999616,0.093022764
2016-12-28 00:00:00+00:00,0.0,-0.2233379
2016-12-29 00:00:00+00:00,0.0,-0.1998552
2016-12-30 00:00:00+00:00,0.0,-0.1998552
2016-12-31 00:00:00+00:00,0.73002756,-0.19664463
2017-01-01 00:00:00+00:00,0.0,-0.19512844
2017-01-02 00:00:00+00:00,-0.71195203,-0.35350606
2017-01-03 00:00:00+00:00,2.6037164,5.7582674
2017-01-04 00:00:00+00:00,0.84502244,1.2996279
2017-01-05 00:00:00+00:00,0.81760967,-0.12466559
2017-01-06 00:00:00+00:00,0.0,-0.24315272
2017-01-07 00:00:00+00:00,0.0,-0.24315272
2017-01-08 00:00:00+00:00,0.0,-0.2433465
2017-01-09 00:00:00+00:00,-0.7163007,-0.3973166
2017-01-10 00:00:00+00:00,0.1882683,-0.23935787
2017-01-11 00:00:00+00:00,0.0,-0.22604702
2017-01-12 00:00:00+00:00,0.74883217,-0.118375525
2017-01-13 00:00:00+00:00,0.7574757,-0.22981587
2017-01-14 00:00:00+00:00,0.0,-0.22981587
2017-01-15 00:00:00+00:00,-0.1337353,-0.23862533
2017-01-16 00:00:00+00:00,0.0,-0.22883822
2017-01-17 00:00:00+00:00,0.81188077,-0.052507475
2017-01-18 00:00:00+00:00,1.7140449,-0.107456766
2017-01-19 00:00:00+00:00,3.24492,4.728786
2017-01-20 00:00:00+00:00,-0.8255283,-3.1398263
2017-01-21 00:00:00+00:00,1.6164577,-0.08420019
2017-01-22 00:00:00+00:00,0.74157506,-0.09037077
2017-01-23 00:00:00+00:00,0.0,-0.17002894
2017-01-24 00:00:00+00:00,0.8032276,-0.08385309
2017-01-25 00:00:00+00:00,-0.82722104,-0.21379267
2017-01-26 00:00:00+00:00,0.0,-0.16795859
2017-01-27 00:00:00+00:00,0.0,-0.1695484
2017-01-28 00:00:00+00:00,0.8284316,-0.1695484
2017-01-29 00:00:00+00:00,1.7890687,5.6238523
2017-01-30 00:00:00+00:00,0.8392061,0.06014386
2017-01-31 00:00:00+00:00,0.0,-0.18386188
2017-02-01 00:00:00+00:00,0.9384349,-0.091093846
2017-02-02 00:00:00+00:00,0.7201737,-0.19605698
2017-02-03 00:00:00+00:00,0.7422244,-0.19605698
2017-02-04 00:00:00+00:00,0.8976932,-0.1312068
2017-02-05 00:00:00+00:00,0.0,-0.20126736
2017-02-06 00:00:00+00:00,0.0,-0.19984174
