Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1562328000000,0.00449000,0.00460000,0.00355000,0.00362760,1583292780.00000000,1562349599999,6225709.05979660,13510,675786305.00000000,2659040.55554260,0
1562349600000,0.00362160,0.00387360,0.00357920,0.00387010,345004880.00000000,1562371199999,1280580.33837630,5079,182617019.00000000,677385.45597660,0
1562371200000,0.00387410,0.00394260,0.00370000,0.00370700,333566218.00000000,1562392799999,1268996.18814120,5213,166957533.00000000,636221.69368740,0
1562392800000,0.00370390,0.00376180,0.00359010,0.00363510,207304279.00000000,1562414399999,759675.13243460,3377,98461187.00000000,360530.87783510,0
1562414400000,0.00363170,0.00368000,0.00351710,0.00354070,257025821.00000000,1562435999999,927821.94370890,4827,140725016.00000000,508342.26285210,0
1562436000000,0.00354070,0.00356020,0.00336520,0.00350000,212847969.00000000,1562457599999,736310.82449910,3833,116580386.00000000,403404.67527500,0
1562457600000,0.00350400,0.00352390,0.00340000,0.00347170,149305790.00000000,1562479199999,518050.14642240,2589,72898629.00000000,253064.54354020,0
1562479200000,0.00347170,0.00356180,0.00346640,0.00350040,126135207.00000000,1562500799999,443157.49399670,2087,66038496.00000000,231925.60623400,0
1562500800000,0.00349700,0.00365000,0.00343990,0.00360480,144478840.00000000,1562522399999,506436.13942020,2745,77902724.00000000,273432.80064350,0
1562522400000,0.00360480,0.00360480,0.00350450,0.00353770,110694155.00000000,1562543999999,392709.29184460,1973,58270908.00000000,206670.45935530,0
1562544000000,0.00353780,0.00356180,0.00347000,0.00347930,53668335.00000000,1562565599999,188523.83987780,912,25952845.00000000,91211.15711990,0
1562565600000,0.00347820,0.00355440,0.00342620,0.00354900,100286036.00000000,1562587199999,351531.58041890,1586,62163830.00000000,218186.61870010,0
1562587200000,0.00354030,0.00355600,0.00340000,0.00348000,62092984.00000000,1562608799999,216297.60937140,1070,26772258.00000000,93376.06809140,0
1562608800000,0.00348000,0.00352550,0.00343780,0.00345800,92398333.00000000,1562630399999,321718.97599370,1390,44568034.00000000,155250.33195130,0
1562630400000,0.00346200,0.00358200,0.00344200,0.00352140,81642040.00000000,1562651999999,286565.82425320,1777,41974622.00000000,147373.59575830,0
1562652000000,0.00352970,0.00353780,0.00335640,0.00340880,80874081.00000000,1562673599999,278581.20814340,1771,32693181.00000000,112632.56442410,0
1562673600000,0.00340130,0.00351380,0.00339860,0.00348770,61099298.00000000,1562695199999,210418.29526180,1257,25916969.00000000,89372.02873010,0
1562695200000,0.00348510,0.00349790,0.00341000,0.00345450,29760163.00000000,1562716799999,102963.00611790,885,15224748.00000000,52669.10615450,0
1562716800000,0.00345760,0.00352940,0.00345100,0.00351890,36379413.00000000,1562738399999,127036.53223380,765,17561106.00000000,61414.81101630,0
1562738400000,0.00352460,0.00352940,0.00347660,0.00348430,54863795.00000000,1562759999999,192567.63635090,960,29844110.00000000,104823.98434930,0
1562760000000,0.00348430,0.00352300,0.00332230,0.00335060,80809336.00000000,1562781599999,274523.70767070,1738,40212831.00000000,136711.70443210,0
1562781600000,0.00334400,0.00342870,0.00325100,0.00334210,69222322.00000000,1562803199999,230495.38039310,1334,27981149.00000000,93316.19440920,0
1562803200000,0.00333580,0.00333950,0.00311640,0.00316520,59040083.00000000,1562824799999,189988.25538000,1189,30510364.00000000,98123.87156920,0
1562824800000,0.00316200,0.00322240,0.00311610,0.00319840,34204107.00000000,1562846399999,108109.26429820,610,12959419.00000000,40988.23888630,0
1562846400000,0.00319840,0.00327720,0.00311860,0.00323340,52319384.00000000,1562867999999,167609.16701150,951,27183061.00000000,86954.47974580,0
1562868000000,0.00322950,0.00325650,0.00309090,0.00320900,57247820.00000000,1562889599999,182803.63522360,971,27726926.00000000,88549.88989280,0
1562889600000,0.00321050,0.00330690,0.00315620,0.00326880,68563817.00000000,1562911199999,221915.09098090,908,45279442.00000000,146551.23664650,0
1562911200000,0.00326830,0.00335980,0.00326830,0.00333500,58144950.00000000,1562932799999,193173.94386400,1066,31674044.00000000,105257.86804910,0
1562932800000,0.00333290,0.00334000,0.00322010,0.00325390,66311221.00000000,1562954399999,216777.19672190,1025,24198479.00000000,79180.74020860,0
1562954400000,0.00324740,0.00331680,0.00321280,0.00326220,35602585.00000000,1562975999999,115957.12327410,639,14917775.00000000,48640.71281550,0
1562976000000,0.00326260,0.00326530,0.00320350,0.00322630,14225123.00000000,1562997599999,45996.78600130,411,6496302.00000000,21047.77213130,0
1562997600000,0.00322680,0.00323320,0.00313580,0.00316160,32181846.00000000,1563019199999,102581.61332490,698,15309622.00000000,48794.01022930,0
1563019200000,0.00317010,0.00321850,0.00315530,0.00320020,26633479.00000000,1563040799999,84876.77908740,517,14307640.00000000,45631.15812910,0
1563040800000,0.00320020,0.00325910,0.00313580,0.00325320,37691492.00000000,1563062399999,120675.81353270,868,17286982.00000000,55423.98221340,0
1563062400000,0.00324740,0.00326110,0.00318070,0.00320190,21738741.00000000,1563083999999,69981.47997430,469,12135852.00000000,39073.30226310,0
1563084000000,0.00320190,0.00327880,0.00300010,0.00311680,93940475.00000000,1563105599999,296146.83213160,1744,39049901.00000000,123121.63759600,0
1563105600000,0.00310290,0.00313840,0.00294340,0.00303110,71343984.00000000,1563127199999,217342.70217050,1192,34662521.00000000,105586.04436260,0
1563127200000,0.00303100,0.00304050,0.00290080,0.00291750,29635254.00000000,1563148799999,88305.69359210,589,16107771.00000000,48048.96584060,0
