Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-11-07 00:00:00,455.91000000,468.28000000,454.80000000,456.31000000,422321.05698000,2020-11-07 07:59:59.999,194632986.61087470,174374,220651.25701000,101692942.31400870,0
2020-11-07 08:00:00,456.31000000,465.16000000,438.20000000,447.88000000,585146.25961000,2020-11-07 15:59:59.999,266441995.02952940,230829,302976.53021000,138030373.40996300,0
2020-11-07 16:00:00,447.88000000,454.29000000,424.14000000,435.21000000,645949.27951000,2020-11-07 23:59:59.999,282796194.14171930,269655,307741.58470000,134784449.72440480,0
2020-11-08 00:00:00,435.20000000,443.30000000,431.99000000,435.45000000,223308.47703000,2020-11-08 07:59:59.999,97896539.15212270,98628,104690.91169000,45894730.19103270,0
2020-11-08 08:00:00,435.43000000,456.77000000,435.43000000,454.11000000,323715.69636000,2020-11-08 15:59:59.999,144417222.44305580,124073,172320.54737000,76892876.43107360,0
2020-11-08 16:00:00,454.11000000,460.10000000,446.27000000,454.30000000,293884.29502000,2020-11-08 23:59:59.999,133365386.63986110,131640,147288.90613000,66856468.77870840,0
2020-11-09 00:00:00,454.29000000,457.86000000,443.67000000,444.85000000,245219.82899000,2020-11-09 07:59:59.999,110816091.83178800,101804,114668.65718000,51831116.51832950,0
2020-11-09 08:00:00,444.80000000,459.10000000,437.00000000,437.71000000,560886.77620000,2020-11-09 15:59:59.999,251201702.46098580,234098,263229.34785000,117974933.05557450,0
2020-11-09 16:00:00,437.71000000,450.39000000,433.09000000,444.32000000,293106.64122000,2020-11-09 23:59:59.999,129910370.68846960,134045,145282.44608000,64417059.41552340,0
2020-11-10 00:00:00,444.32000000,452.99000000,438.70000000,449.04000000,264359.00744000,2020-11-10 07:59:59.999,118187902.40652750,122925,131943.57229000,58996928.45000030,0
2020-11-10 08:00:00,449.04000000,455.00000000,440.30000000,443.12000000,360369.26090000,2020-11-10 15:59:59.999,161424027.65555820,154925,178230.31082000,79854462.90513000,0
2020-11-10 16:00:00,443.08000000,454.60000000,441.86000000,450.34000000,242144.14274000,2020-11-10 23:59:59.999,108578218.14580940,106378,127070.14560000,57004956.83456510,0
2020-11-11 00:00:00,450.34000000,466.41000000,449.28000000,462.14000000,464237.32365000,2020-11-11 07:59:59.999,214226732.20053580,207738,257493.13940000,118819144.38720720,0
2020-11-11 08:00:00,462.15000000,464.20000000,455.31000000,461.99000000,294925.52326000,2020-11-11 15:59:59.999,135865372.27340660,143201,143011.81943000,65893629.11119500,0
2020-11-11 16:00:00,462.00000000,476.25000000,460.11000000,463.09000000,446619.99571000,2020-11-11 23:59:59.999,209136687.41640850,209421,225762.53998000,105775013.45774890,0
2020-11-12 00:00:00,463.09000000,466.20000000,451.20000000,464.80000000,282598.60543000,2020-11-12 07:59:59.999,129721480.15077020,118195,131634.64219000,60444808.55347690,0
2020-11-12 08:00:00,464.80000000,470.00000000,455.01000000,461.16000000,449384.48984000,2020-11-12 15:59:59.999,207577555.33090800,176709,215608.75813000,99630893.58662750,0
2020-11-12 16:00:00,461.16000000,464.74000000,452.18000000,462.39000000,258793.53385000,2020-11-12 23:59:59.999,118672273.73517640,116936,124334.58094000,57040053.17863750,0
2020-11-13 00:00:00,462.48000000,467.18000000,457.12000000,460.21000000,266410.04856000,2020-11-13 07:59:59.999,123298645.51664250,100837,129488.05721000,59933353.87740490,0
2020-11-13 08:00:00,460.21000000,474.27000000,458.02000000,469.33000000,434014.94188000,2020-11-13 15:59:59.999,202658056.50766170,189950,236245.04404000,110333539.27295590,0
2020-11-13 16:00:00,469.32000000,478.01000000,464.68000000,476.43000000,276240.10708000,2020-11-13 23:59:59.999,130276235.18182610,136576,143611.12673000,67764969.90133770,0
2020-11-14 00:00:00,476.42000000,477.47000000,465.02000000,467.08000000,223263.30493000,2020-11-14 07:59:59.999,104926256.74265370,107095,110777.43035000,52077474.30455950,0
2020-11-14 08:00:00,467.06000000,467.89000000,453.65000000,458.77000000,321753.92412000,2020-11-14 15:59:59.999,147924225.43151120,146169,146179.82016000,67219020.36215240,0
2020-11-14 16:00:00,458.77000000,463.47000000,452.00000000,460.89000000,190235.55635000,2020-11-14 23:59:59.999,87291775.01953270,97508,90042.78878000,41338467.33810240,0
2020-11-15 00:00:00,460.90000000,462.89000000,456.51000000,460.80000000,137069.21773000,2020-11-15 07:59:59.999,63021023.84494110,70848,71341.72444000,32799443.09106450,0
2020-11-15 08:00:00,460.81000000,462.73000000,454.30000000,456.25000000,191264.93352000,2020-11-15 15:59:59.999,87589096.26441060,87329,86730.76829000,39730521.17446760,0
2020-11-15 16:00:00,456.25000000,457.04000000,440.19000000,448.08000000,336883.41546000,2020-11-15 23:59:59.999,150796006.34996010,153274,149537.07266000,66912377.81272960,0
2020-11-16 00:00:00,448.07000000,456.40000000,445.45000000,454.57000000,219745.04522000,2020-11-16 07:59:59.999,99103395.50468250,92029,110369.83969000,49764496.67276720,0
2020-11-16 08:00:00,454.57000000,460.80000000,449.64000000,459.40000000,280169.23634000,2020-11-16 15:59:59.999,127649913.01121070,107905,141845.73124000,64638527.80909500,0
2020-11-16 16:00:00,459.39000000,466.00000000,456.63000000,460.55000000,312146.16482000,2020-11-16 23:59:59.999,144136398.18333960,128828,155078.79804000,71613397.94542970,0
2020-11-17 00:00:00,460.51000000,468.85000000,459.80000000,465.98000000,234363.43365000,2020-11-17 07:59:59.999,108962260.07122070,101005,121848.36555000,56658313.97983980,0
2020-11-17 08:00:00,465.99000000,474.12000000,461.80000000,473.66000000,397222.84912000,2020-11-17 15:59:59.999,185868004.55340410,157142,196604.38158000,92040537.29533890,0
2020-11-17 16:00:00,473.63000000,484.88000000,471.70000000,482.15000000,519987.09179000,2020-11-17 23:59:59.999,249409400.75712680,206189,272852.82041000,130885106.62966070,0
2020-11-18 00:00:00,482.11000000,495.31000000,456.60000000,477.32000000,738415.34871000,2020-11-18 07:59:59.999,355392534.67837810,319093,375077.93967000,180692944.39328690,0
2020-11-18 08:00:00,477.31000000,482.60000000,463.50000000,473.99000000,501761.09948000,2020-11-18 15:59:59.999,238643239.65104070,207248,247780.08485000,117925616.24515020,0
2020-11-18 16:00:00,473.99000000,480.59000000,468.79000000,478.41000000,237519.84297000,2020-11-18 23:59:59.999,112668623.08145010,111300,118887.04301000,56411044.97778900,0
